"node_id","floor_id","name_th","type","name_eng","x","z"
1,1,"สมาคมศิษย์เก่า","room","Alumni Association",-2.2,-9.29
2,1,"สโมสรนิสิต","room","Student Association",0.75,-9.18
3,1,"ร้านค้า","room","Shop",0.74,-7.88
4,1,"บันได เข้าลานอเนกชั้น1","stair","Stair 1_01",-0.5,-5.7
5,1,"บันได_ชั้น 1_01","stair","Stair_level 1_01",-1.5,-5.1
6,1,"ลิฟต์_ชั้น 1_01","elevator","Elevator_level 1_01",-1.4,-4.4
7,1,"ห้องน้ำ_หญิง_ชั้น 1_01","room","Toilet_F_level 1_01",2.52,-3.9
8,1,"ลิฟต์_ชั้น 1_02","elevator","Elevator_level 1_02",-1.4,-3.6
9,1,"ห้องน้ำ_ชาย_ชั้น 1_01","room","Toilet_M_level 1_01",2.39,-2.77
10,1,"บันได 1_02","stair","Stair 1_02",-1.65,6.25
11,1,"ทางเดิน ภายในลานอเนกชั้น 1","hallway","Hallway 1_01",-1.3,2.5
12,1,"ทางเดินหน้าร้านค้า","hallway","Hallway 1_05",0.05,-6.63
13,1,"ทางเดินเข้ามาจากตึก40","hallway","Hallway 1_02",-0.5,-9.78
14,1,"ทางเดินไปทาง89","hallway","Hallway 1_03",-1.33,7.8
15,1,"บันได 1_03","stair","Stair 1_03",2.5,6.25
16,1,"บันได_ชั้น 1_02","stair","Stair_level 1_02",3.25,-1.75
17,1,"ทางเดินไปตึก84","hallway","Hallway 1_04",-1.7,2.2
18,2,"ทางเข้า_ชั้น 2","entrance","Entrance_level 2",-0.1,-6.25
19,2,"ห้องภาควิชาไฟฟ้าและคอมพิวเตอร์","room","Department of Electrical and Computer Engineering",-0.71,-2.89
20,2,"ทางเชื่อมไปตึก84","hallway","Hallway 2_01",-1.63,-1.73
21,2,"ทางเดินหน้าลิฟต์ชั้น 2","stair","Hallway 2_02",0.8,-1.12
22,2,"ทางเดินไปทางตึกด้านหลัง","elevator","Hallway 2_03",-1.33,8.8
23,2,"ห้องน้ำ_หญิง_ชั้น 2_01","room","Toilet_F_level 2_01",2.38,-3.33
24,2,"ทางเดินหน้าห้องผู้ช่วยคณบดี","elevator","Hallway 2_04",1.85,6
25,2,"ห้องน้ำ_ชาย_ชั้น 2_01","room","Toilet_M_level 2_01",2.37,-2.39
26,2,"ห้องควบคุม","room","Control_room",1.99,-0.78
27,2,"ทางเดินลานอนกชั้น2","hallway","Hallway 2_05",-0.9,1.75
28,2,"ห้องประชุมชั้น2","room","Meeting_room_2",2.34,1.48
29,2,"บันได_ชั้น 2_01","hallway","Stair_level 2_01",1.5,-4.75
30,2,"ห้องคณบดี","room","Dean's Office",2.53,9.86
31,2,"บันได_ชั้น 2_02","hallway","Stair_level 2_02",-1.8,6.6
32,2,"ลิฟต์_ชั้น 2_01","stair","Elevator_level 2_01",-1.5,-4
33,2,"ห้องน้ำ_ชาย_ชั้น 2_02","room","Toilet_M_level 2_02",-2.75,7.26
34,2,"ห้องน้ำ_หญิง_ชั้น 2_02","room","Toilet_F_level 2_02",-2.68,7.7
35,2,"ลิฟต์_ชั้น 2_02","hallway","Elevator_level 2_02",-1.5,-3.1
36,3,"ห้องประชุมวิจิตรวาที","room","Lecture Theater",0.92,-7.31
37,3,"ทางเดินหน้าลิฟต์ชั้น 3","hallway","Hallway 3_01",-0.8,-4.25
38,3,"กองบริการการศึกษา","room","Academic Office",-0.6,-3.51
39,3,"ทางเชื่อมไปตึก84","stair","Hallway 3_02",-1.6,-1.5
40,3,"ทางเดินในสำนักงาน","elevator","Hallway 3_03",1.12,3.53
41,3,"ห้องน้ำ_หญิง_ชั้น 3_01","room","Toilet_F_level 3_01",2.41,-3.07
42,3,"ทางเดินไปทางตึกด้านหลัง","elevator","Hallway 3_04",-1.3,6.95
43,3,"ห้องน้ำ_ชาย_ชั้น 3_01","room","Toilet_M_level 3_01",2.35,-2.12
44,3,"ทางเดินหน้าลิฟต์ชั้น 3(ซ้ำ)","hallway","Hallway 3_06",-0.8,-4.25
45,3,"แผนกการเงิน","room","Finance Office",-0.16,-0.22
46,3,"ห้องทานอาหาร","room","breaking room",2.12,0.31
47,3,"ห้องประชุมย่อย","room","small meeting room",2.51,1.21
48,3,"ห้องหัวหน้าสำนักงาน","room","Office Head Room",2.12,1.99
49,3,"ห้องทำงานผู้เชี่ยวชาญ","room","Office",2.22,2.78
50,3,"ทางเดินหน้าลิฟต์ชั้น 3(ซ้ำ)","hallway","Hallway 3_05",-0.8,-4.25
51,3,"บันได_ชั้น 3_01","hallway","Stair_level 3_01",1.5,-4.45
52,3,"ห้องเอนกประสงค์","room","Multipurpose room",2.16,4.44
53,3,"บันได_ชั้น 3_02","hallway","Stair_level 3_02",-2.25,6.75
54,3,"ลิฟต์_ชั้น 3_01","stair","Elevator_level 3_01",1.45,-3.7
55,3,"ห้องน้ำ_ชาย_ชั้น 3_02","room","Toilet_M_level 3_02",-2.85,7.57
56,3,"ห้องน้ำ_หญิง_ชั้น 3_02","room","Toilet_F_level 3_02",-2.65,8.05
57,3,"ศูนย์อบรมวิทยาการด้านหุ่นยนต์","room","Robot Academy",-0.52,9.50
58,3,"ลิฟต์_ชั้น 3_02","hallway","Elevator_level 3_02",1.5,-2.8
59,4,"1402","room","1402",-0.5,-4.67
60,4,"1403","room","1403",0.36,-5.54
61,4,"1404","room","1404",1.20,-5.54
62,4,"บันได_ชั้น 4_01","stair","Stair_level 4_01",1.5,-4.45
63,4,"ลิฟต์_ชั้น 4_01","elevator","Elevator_level 4_01",1.45,-3.7
64,4,"ห้องน้ำ_หญิง_ชั้น 4_01","room","Toilet_F_level 4_01",-2.20,8.10
65,4,"ลิฟต์_ชั้น 4_02","elevator","Elevator_level 4_02",1.45,-2.75
66,4,"ห้องน้ำ_ชาย_ชั้น 4_01","room","Toilet_M_level 4_01",1.45,-2.07
67,4,"ทางเดินหน้าลิฟต์ชั้น 4","hallway","Hallway 4_01",0.72,-3.37
68,4,"1436","room","1436",-0.9,-1.7
69,4,"ทางเดินเข้าภาคอุตสาหการชั","hallway","Hallway 4_02",-1.57,-3.85
70,4,"1433","room","1433",-0.75,2.25
71,4,"1408","room","1408",0.85,-1.25
72,4,"1409","room","1409",0.85,-0.50
73,4,"1410","room","1410",0.85,0.40
74,4,"1411","room","1411",0.85,1.2
75,4,"1412","room","1412",0.85,2.00
76,4,"1413","room","1413",0.85,2.85
77,4,"1414","room","1414",0.85,3.70
78,4,"1415","room","1415",0.85,4.45
79,4,"1416","room","1416",0.85,5.4
80,4,"1417","room","1417",0.85,6.25
81,4,"1432","room","1432",-0.75,6.20
82,4,"ทางเดินหน้าห้องพักอาจารย์","hallway","Hallway 4_03",0.25,2.38
83,4,"พื้นที่ทำงานร่วมกัน","room","co-workingspace",1.1,7.8
84,4,"ทางเดินหน้าห้องเรียนหลังห้องพักอาจารย์ชั้น 4","hallway","Hallway 4_04",1.90,2.38
85,4,"1431","room","1431",2.00,8.00
86,4,"ห้องเรียน1","room","Lecture_room_1",2.6,5.9
87,4,"ห้องเรียน2","room","Lecture_room_2",2.6,4.25
88,4,"ห้องเรียน3","room","Lecture_room_3",2.6,2.5
89,4,"ห้องเรียน4","room","Lecture_room_4",2.6,0.75
90,4,"ทางเดินหน้าบันไดด้านหลังชั้น 4","hallway","Hallway 4_05",0.6,7.72
91,4,"ทางเดินหน้าบันไดด้านหลังชั้น 4(ซ้ำ)","hallway","Hallway 4_06",0.6,7.72
92,4,"บันได_ชั้น 4_02","stair","Stair_level 4_02",1.56,4.01
93,4,"ห้องน้ำ_ชาย_ชั้น 4_02","room","Toilet_M_level 4_02",-2.2,7.5
94,4,"ห้องน้ำ_หญิง_ชั้น 4_02","room","Toilet_F_level 4_02",-2.25,8.1
95,5,"506","room","506",-0.45,-7.85
96,5,"504","room","504",0.40,-7.85
97,5,"507","room","507",-0.6,-6.35
98,5,"ทางเดินหน้าลิฟต์ชั้น 5","hallway","Hallway in front of elevator",0.72,-3.29
99,5,"505","room","505",0.93,-6.00
100,5,"ทางเดินหน้าห้อง504,506","hallway","Hallway 5_02",0.23,-7.12
101,5,"508","room","508",-0.85,-4.3
102,5,"509","room","509",-0.85,-1.25
103,5,"513","room","513",-0.85,0.75
104,5,"515","room","515",-0.85,2.45
105,5,"519","room","519",-0.85,4.1
106,5,"521","room","521",-0.85,5.8
107,5,"523","room","523",-0.85,8.25
108,5,"526","room","526",-0.85,10.00
109,5,"ทางเดินหน้าบันไดข้างหลังชั้น 5","hallway","Hallway 5_03",-0.89,6.97
110,5,"บันได_ชั้น 5_01","stair","Stair_level 5_01",1.5,-4.45
111,5,"ลิฟต์_ชั้น 5_01","elevator","Elevator_level 5_01",1.5,-3.75
112,5,"ห้องน้ำ_หญิง_ชั้น 5_01","room","Toilet_F_level 5_01",1.5,-3.25
113,5,"ลิฟต์_ชั้น 5_02","elevator","Elevator_level 5_02",1.5,-2.83
114,5,"ห้องน้ำ_ชาย_ชั้น 5_01","room","Toilet_M_level 5_01",1.50,-2.1
115,5,"510","room","510",1.00,-1.30
116,5,"514","room","514",1.00,1.35
117,5,"518","room","518",1.00,2.95
118,5,"520","room","520",1.00,5.8
119,5,"ทางเดินหน้าห้อง523","hallway","Hallway 5_04",0.21,9.08
120,5,"ทางเดินหลักหน้าห้องเรียนชั้น 5","hallway","Hallway 5_05",0.3,2.03
121,5,"บันได_ชั้น 5_02","stair","Stair_level 5_02",-2.31,6.9
122,5,"ห้องน้ำ_ชาย_ชั้น 5_02","room","Toilet_M_level 5_02",-2.25,7.5
123,5,"ห้องน้ำ_หญิง_ชั้น 5_02","room","Toilet_F_level 5_02",-2.25,8.1
124,6,"601","room","601",-0.45,-7.85
125,6,"602","room","602",0.40,-7.85
